Old name;New name or PV needs to be Paused/Deleted
HBL-020CDL:Cryo-PID-82406:FB_Setpoint;HBL-020CDL:SC-PID-82406:FB_Setpoint
HBL-020CDL:Cryo-PID-82406:FB_Step;HBL-020CDL:SC-PID-82406:FB_Step
HBL-020CDL:Cryo-PID-82406:FB_Manipulated;HBL-020CDL:SC-PID-82406:FB_Manipulated
HBL-020CDL:Cryo-PID-82406:FB_Gain;HBL-020CDL:SC-PID-82406:FB_Gain
HBL-020CDL:Cryo-PID-82406:FB_TI;HBL-020CDL:SC-PID-82406:FB_TI
HBL-020CDL:Cryo-PID-82406:FB_TD;HBL-020CDL:SC-PID-82406:FB_TD
HBL-020CDL:Cryo-PID-82406:FB_DEADB;HBL-020CDL:SC-PID-82406:FB_DEADB
HBL-020CDL:Cryo-PID-82406:FB_LMN_HLIM;HBL-020CDL:SC-PID-82406:FB_LMN_HLIM
HBL-020CDL:Cryo-PID-82406:FB_LMN_LLIM;HBL-020CDL:SC-PID-82406:FB_LMN_LLIM
HBL-020CDL:Cryo-PID-82406:FB_Gain_1;HBL-020CDL:SC-PID-82406:FB_Gain_1
HBL-020CDL:Cryo-PID-82406:FB_TI_1;HBL-020CDL:SC-PID-82406:FB_TI_1
HBL-020CDL:Cryo-PID-82406:FB_TD_1;HBL-020CDL:SC-PID-82406:FB_TD_1
HBL-020CDL:Cryo-PID-82406:FB_DEADB_1;HBL-020CDL:SC-PID-82406:FB_DEADB_1
HBL-020CDL:Cryo-PID-82406:FB_LMN_HLIM_1;HBL-020CDL:SC-PID-82406:FB_LMN_HLIM_1
HBL-020CDL:Cryo-PID-82406:FB_LMN_LLIM_1;HBL-020CDL:SC-PID-82406:FB_LMN_LLIM_1
HBL-020CDL:Cryo-PID-82406:FB_Gain_2;HBL-020CDL:SC-PID-82406:FB_Gain_2
HBL-020CDL:Cryo-PID-82406:FB_TI_2;HBL-020CDL:SC-PID-82406:FB_TI_2
HBL-020CDL:Cryo-PID-82406:FB_TD_2;HBL-020CDL:SC-PID-82406:FB_TD_2
HBL-020CDL:Cryo-PID-82406:FB_DEADB_2;HBL-020CDL:SC-PID-82406:FB_DEADB_2
HBL-020CDL:Cryo-PID-82406:FB_LMN_HLIM_2;HBL-020CDL:SC-PID-82406:FB_LMN_HLIM_2
